idcc_actuel,nom_officiel_ancien,idcc_a_utiliser,nom_officiel_nouveau,contenu_1er_niveau
83,Convention collective nationale des menuiseries charpentes et constructions industrialisées et des portes planes,3222,Convention collective nationale des menuiseries charpentes et constructions industrialisées et des portes planes,Ouvrier(ère) débutant(e) — atelier / chantier
87,Convention collective nationale des ouvriers des industries de carrières et de matériaux,3249,Convention collective nationale des industries de carrières et matériaux de construction,Niveau I coef 100 — Ouvrier(ère) d'exécution débutant(e)
135,Convention collective nationale des employés techniciens et agents de maitrise des industries de carrières et de matériaux,3249,Convention collective nationale des industries de carrières et matériaux de construction,Niveau I coef 100 — Ouvrier(ère) d'exécution débutant(e)
179,Convention collective nationale du personnel des coopératives de consommation,3205,Convention collective nationale du personnel des coopératives de consommation,"Niveau 1A — Employé(e) débutant(e) — vente, caisse"
207,Convention collective nationale de l'industrie des cuirs et peaux,2528,"Convention collective nationale de travail des industries de la maroquinerie, articles de voyage, chasse sellerie, gainerie, bracelets en cuir",Niveau I-1 — Opérateur(rice) minoterie débutant(e)
211,Convention collective nationale des cadres des industries de carrières et matériaux,3249,Convention collective nationale des industries de carrières et matériaux de construction,Niveau I coef 100 — Ouvrier(ère) d'exécution débutant(e)
216,Convention collective des mensuels des industries métallurgiques de Saint-Nazaire,1369,"Convention collective des industries métallurgiques, électriques, électroniques et connexes de Loire-Atlantique",Coef 100 — Opérateur(rice) de fabrication débutant(e)
240,Convention collective nationale du personnel des greffes des tribunaux de commerce,3244,Convention collective nationale des professions réglementées auprès des juridictions,Clerc débutant(e) — secrétariat juridique
267,Convention collective régionale de la quincaillerie commerciaux cadres employés de Bourgogne,1383,"Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, métaux et équipement de la maison, employés et personnels de maîtrise",Position A — Cadre débutant(e) ingénieur(e) BTP
350,Convention collective nationale des industries de la mode et de la chapellerie,247,Convention collective nationale des industries de l'habillement,Ouvrier(ère) débutant(e)
354,Convention collective nationale de la ganterie de peau,2528,"Convention collective nationale de travail des industries de la maroquinerie, articles de voyage, chasse sellerie, gainerie, bracelets en cuir",Ouvrier(ère) débutant(e) — coupe/couture gants
363,Convention collective nationale du personnel ingénieurs et cadres de l'industrie de la fabrication des ciments,3233,Convention collective nationale de la branche de l'industrie de la fabrication des ciments,Position 1 — Ingénieur(e) débutant(e) / Cadre débutant(e)
388,Convention collective nationale des auditoriums cinématographiques,3097,Convention collective nationale de la production cinématographique,"Technicien(ne) son débutant(e) — montage, mixage"
398,Convention collective nationale des ouvriers du négoce des matériaux de construction,3216,Convention collective nationale des salariés du négoce des matériaux de construction,"Ouvrier(ère) débutant(e) — manutention, livraison"
412,Convention collective nationale de travail des guides accompagnateurs et accompagnateurs au service des agences de voyages et de tourisme,3245,Convention collective nationale des opérateurs de voyages et des guides,OPL débutant(e) — Officier Pilote de Ligne (< 500h ATPL)
435,Convention collective nationale des acteurs de la production cinématographique,3097,Convention collective nationale de la production cinématographique,Acteur(rice) — petits rôles / figuration améliorée
438,Convention collective nationale de travail des échelons intermédiaires des services extérieurs de production des sociétés d'assurances,653,Convention collective nationale des salariés commerciaux des sociétés d’assurances,"Classe 1 — Employé(e) administratif(ve) débutant(e) — accueil, secrétariat (23 194€/an)"
504,Convention collective nationale des industries alimentaires diverses,3109,Convention collective nationale des 5 branches industries alimentaires diverses,Niveau 1 échelon 1 — Ouvrier(ère) débutant(e) sans qualification
506,"Convention collective nationale des fabricants, importateurs et transformateurs de produits exotiques",3109,Convention collective nationale des 5 branches industries alimentaires diverses,"Employé(e) débutant(e) — manutention, stockage"
533,"Convention collective nationale des employés, techniciens et agents de maitrise du négoce des matériaux de construction",3216,Convention collective nationale des salariés du négoce des matériaux de construction,Employé(e) débutant(e)
567,"Convention collective nationale de la bijouterie, joaillerie, orfèvrerie et des activités qui s'y rattachent",3251,"Convention collective nationale de la bijouterie, joaillerie, orfèvrerie, horlogerie (BJOH)",Ouvrier(ère) débutant(e) — production jouets
598,Convention collective nationale de travail des ouvriers de la presse quotidienne régionale,3242,Convention collective nationale de la presse quotidienne et hebdomadaire en régions,Ouvrier(ère) imprimerie débutant(e)
614,Convention collective nationale des industries de la sérigraphie et des procédés d'impression numérique connexes,184,Convention collective nationale de l'imprimerie de labeur et des industries graphiques,Opérateur(rice) PAO débutant(e)
625,Convention collective nationale des cadres et agents de maitrise des services généraux et administratifs des théâtres cinématographiques,1307,Convention collective nationale de l'exploitation cinématographique,Cadre — Responsable salle / Directeur(rice) adjoint(e)
635,Convention collective nationale du négoce en fournitures dentaires (annexée à la convention collective nationale des commerces de gros 0573),573,Convention collective nationale des commerces de gros,"Employé(e) débutant(e) — vente, magasinage"
650,Convention collective nationale des ingénieurs et cadres de la métallurgie,3248,Convention collective nationale de la métallurgie,Coef 110V — Conducteur(rice) réceptionnaire débutant(e) — car/autobus
652,Convention collective nationale des cadres du négoce des matériaux de construction,3216,Convention collective nationale des salariés du négoce des matériaux de construction,Cadre débutant(e) — Responsable commercial(e)
673,Convention collective nationale de la fourrure (annexée à la convention collective nationale de la couture parisienne 0303),303,Convention collective nationale de la couture parisienne et des autres métiers de la mode,Agent(e) d'escale / administratif(ve) débutant(e)
698,Convention collective de travail des employés de la presse quotidienne régionale,3242,Convention collective nationale de la presse quotidienne et hebdomadaire en régions,Employé(e) administratif(ve) débutant(e)
700,"Convention collective nationale des ingénieurs et cadres de la production des papiers, cartons et celluloses",3238,Convention collective nationale de la production et de la transformation des papiers et cartons,Opérateur(rice) production débutant(e)
706,Convention collective nationale du personnel de la reprographie,1539,Convention collective nationale des entreprises du bureau et du numérique Commerces et Services,Opérateur(rice) reprographie débutant(e)
707,Convention collective nationale des ingénieurs et cadres de la transformation des papiers cartons et de la pellicule cellulosique,3238,Convention collective nationale de la production et de la transformation des papiers et cartons,Cadre débutant(e) — Ingénieur(e) papier
715,Convention collective nationale des instruments à écrire et des industries connexes,489,Convention collective du personnel des industries du cartonnage,Ouvrier(ère) production débutant(e)
731,"Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, métaux et équipement de la maison, cadres",3243,"Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, métaux et équipement de la maison",Cadre commercial(e) débutant(e)
776,Convention collective nationale du personnel navigant des essais et des réceptions des entreprises de transport aérien,1612,Convention collective nationale du personnel navigant des essais et réceptions,Position 4 — Secrétaire médicale débutante (entrée de grille)
